Audio_UMAP_X,Audio_UMAP_Y,Audio_UMAP_Z,Volume,Pitch
1.317467117309570312e+01,1.247789669036865234e+01,2.161093950271606445e+00,1.062081355485133827e-04,8.367473494881949136e+01
1.315962028503417969e+01,1.246116733551025391e+01,2.160895347595214844e+00,3.377984685357660055e-04,1.131933819517206814e+02
1.307906150817871094e+01,1.237871551513671875e+01,2.159596920013427734e+00,5.230538081377744675e-04,2.246790887100127634e+02
1.235210895538330078e+01,1.186268329620361328e+01,2.041926145553588867e+00,7.082207594066858292e-04,1.098888806205358009e+02
1.228077411651611328e+01,1.180980300903320312e+01,2.034338235855102539e+00,8.738620090298354626e-04,1.109036301504973920e+02
1.226735687255859375e+01,1.179393959045410156e+01,2.038092613220214844e+00,9.033284150063991547e-04,1.117473703821439273e+02
1.225487422943115234e+01,1.178157997131347656e+01,2.030529737472534180e+00,1.082257251255214214e-03,6.616213666007804761e+01
1.225642776489257812e+01,1.178663921356201172e+01,2.031746387481689453e+00,1.043644966557621956e-03,6.718359710099107929e+01
1.225074768066406250e+01,1.177336215972900391e+01,2.036380052566528320e+00,1.637624693103134632e-03,1.152531451212374378e+02
1.224342250823974609e+01,1.177204608917236328e+01,2.030316352844238281e+00,2.445825375616550446e-03,2.379493324127433311e+02
1.221413230895996094e+01,1.172346687316894531e+01,2.039280176162719727e+00,3.406395902857184410e-03,2.451748623976568240e+02
1.217446708679199219e+01,1.165791034698486328e+01,2.035453796386718750e+00,3.741610096767544746e-03,2.533783046306234894e+02
1.214587306976318359e+01,1.158539390563964844e+01,2.063463926315307617e+00,3.718839259818196297e-03,2.551126288505543016e+02
1.208955383300781250e+01,1.138602924346923828e+01,2.191186904907226562e+00,3.298676805570721626e-03,2.066807659982277698e+02
1.203965568542480469e+01,1.104362678527832031e+01,2.462161064147949219e+00,3.444311907514929771e-03,3.156205101828994657e+02
1.198960876464843750e+01,1.083009719848632812e+01,2.648502111434936523e+00,3.680137218907475471e-03,2.297558450693050531e+02
1.194967269897460938e+01,1.071264457702636719e+01,2.811485528945922852e+00,3.740322077646851540e-03,2.280156500885038611e+02
1.193420410156250000e+01,1.068727016448974609e+01,2.830912351608276367e+00,4.186336882412433624e-03,2.300873594682370253e+02
